product_name,product_link,product_img_link,category,components
"Напиток Компотай Смешанный сокосодержащий, Вишня ж/б 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269587-napitok_kompotai_smeshannyi_sokosoderzhashii_vishnya_zh_b_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269587-napitok_kompotai_smeshannyi_sokosoderzhashii_vishnya_zh_b_450_ml.png?w=460&h=460&_c=1730291193,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, глюкоза, компаунд ""Вишня"", натуральный яблочный концентрат, яблочная кислота,лимонная кислота, ароматизатор пищевой ""Вишня"", ароматизатор пищевой ""Слива"""
"Напиток Компотай гранатовый 1,5 л",https://arbuz.kz/ru/almaty/catalog/item/319273-napitok_kompotai_granatovyi_1_5_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__319273-napitok_kompotai_granatovyi_1_5_l.jpg?w=460&h=460&_c=1730291113,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, регулятор кислотности: лимонная кислота, натуральный ароматизатор «вкус граната», натуральный краситель: экстракт черной моркови."
Напиток Компотай гранатовый 1 л,https://arbuz.kz/ru/almaty/catalog/item/319275-napitok_kompotai_granatovyi_1_l?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__319275-napitok_kompotai_granatovyi_1_l.jpg?w=460&h=460&_c=1730291108,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, регулятор кислотности: лимонная кислота, натуральный ароматизатор «вкус граната», натуральный краситель: экстракт черной моркови."
"Напиток Компотай Смешанный сокосодержащий, Ягода 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269588-napitok_kompotai_smeshannyi_sokosoderzhashii_yagoda_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269588-napitok_kompotai_smeshannyi_sokosoderzhashii_yagoda_450_ml.jpg?w=460&h=460&_c=1732615121,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, глюкоза, натуральный яблочный концентрат, компаунд ""Вишня"", компаунд ""Лсная ягода"", лимонная кислота, пищевой ароматизатор ""Клюква"", мальтодекстрин, натуральное пищевое волокно для продуктов здорового направления Fibregum B, ароматизатор ""Малина"", яблочная кислота, аскорбиновая кислота"
"Напиток Компотай Смешанный сокосодержащий, классический ж/б 450 мл",https://arbuz.kz/ru/almaty/catalog/item/269589-napitok_kompotai_smeshannyi_sokosoderzhashii_klassicheskii_zh_b_450_ml?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/269589-napitok_kompotai_smeshannyi_sokosoderzhashii_klassicheskii_zh_b_450_ml.jpg?w=460&h=460&_c=1730291186,Вода и напитки/Соки и морсы,"Вода очищенная, сахар, натуральный яблочный концентрат, глюкоза, соковая основа ""Мультифрукт"", концентрированный натуральный экстракт шиповника, натуральное пищевое волокно для продуктов здорового направления Fibregum B, регуляторы кислотности: лимонная кислота, аскорбиновая кислота, ароматизатор пищевой ""Слива"", ароматизатор пищевой ""Яблоко"", ароматизатор пищевой ""Мед"""
Кофе Jacobs Velvet растворимый 95 г,https://arbuz.kz/ru/almaty/catalog/item/318429-kofe_jacobs_velvet_rastvorimyi_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/image__318429-kofe_jacobs_velvet_rastvorimyi_95_g.jpg?w=460&h=460&_c=1737717207,Вода и напитки/Кофе и какао,100% натуральный сублимированный кофе
Кофе Jacobs Monarch растворимый 400 г,https://arbuz.kz/ru/almaty/catalog/item/263647-kofe_jacobs_monarch_rastvorimyi_400_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__9d816aa4-61ca-49e2-8d65-1a9b420256b7-8714599514481-1_jpg.jpg?w=%w&h=%h&_c=1734671853,Вода и напитки/Кофе и какао,Кофе 100 % натуральный растворимый сублимированный
Кофе Jacobs Monarch растворимый 500 г,https://arbuz.kz/ru/almaty/catalog/item/232818-kofe_jacobs_monarch_rastvorimyi_500_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/file_name__eb99ad30-62d8-4956-b629-b98de1f4de68-4607001777281-1_jpg.jpg?w=%w&h=%h&_c=1734671619,Вода и напитки/Кофе и какао,"100% натуральный кофе смеси арабики и робусты, идеально дополняющих друг друга."
Кофе Jacobs Caramel с ароматом карамели 95 г,https://arbuz.kz/ru/almaty/catalog/item/257013-kofe_jacobs_caramel_s_aromatom_karameli_95_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/257013-kofe_jacobs_caramel_jar_95_g.jpg?w=460&h=460&_c=1737514676,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
Кофе Jacobs Barista Italiano в зёрнах 800 г,https://arbuz.kz/ru/almaty/catalog/item/272460-kofe_jacobs_barista_italiano_v_z_rnah_800_g?ref=catalog,https://arbuz.kz/image/s3/arbuz-kz-products/272460-kofe_jacobs_v_z_rnah_barista_italliano_800_g.jpg?w=460&h=460&_c=1737350361,Вода и напитки/Кофе и какао,"Jacobs
К товарам бренда"
